7,allpdb0027
22,allpdb0055
28,allpdb0068
38,allpdb0084
39,allpdb0086
48,allpdb0120
53,allpdb0127
64,allpdb0161
66,allpdb0171
69,allpdb0174
70,allpdb0175
91,allpdb0233
92,allpdb0234
119,allpdb0297
125,allpdb0315
129,allpdb0330
133,allpdb0340
140,allpdb0352
147,allpdb0377
181,allpdb0473
186,allpdb0493
202,allpdb0563
206,allpdb0584
221,allpdb0653
250,allpdb0731
323,allpdb1025
324,allpdb1029
328,allpdb1047
341,allpdb1104
353,allpdb1170
357,allpdb1205
358,allpdb1206
376,allpdb1295
390,allpdb1378
422,allpdb1507
442,allpdb1646
457,allpdb1697
498,allpdb1800
519,allpdb1877
548,allpdb2041
